2A.xyz	O=Cc1ccccc1F
2AA.xyz	COc1ccccc1C=O
2AB.xyz	Cc1ccccc1C=O
2AC.xyz	O=Cc1ccccc1C(F)(F)F
2AD.xyz	O=Cc1ccccc1OC(F)(F)F
2AE.xyz	Cc1cccc(C=O)c1
2AF.xyz	COc1cccc(C=O)c1
2AG.xyz	CC(C)(C)OC(=O)Oc1cccc(C=O)c1
2AH.xyz	CCOC(OCC)c1ccc(C=O)cc1
2AI.xyz	CC(C)c1ccc(C=O)cc1
2AJ.xyz	COc1ccc(C=O)cc1
2AK.xyz	Cc1ccc(C=O)cc1
2AL.xyz	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](OC(=O)c5cccc(C=O)c5)CC[C@]4(C)[C@H]3CC[C@]12C
2AM.xyz	O=Cc1cccc2oc3ccccc3c12
2AN.xyz	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)c1cccc(C=O)c1
2AO.xyz	CC(C)Cc1ccc([C@H](C)C(=O)Oc2cccc(C=O)c2)cc1
2AP.xyz	O=Cc1cccc2c1OCO2
2AQ.xyz	COc1ccc2cc([C@H](C)C(=O)Oc3cccc(C=O)c3)ccc2c1
2AR.xyz	O=Cc1cccc2ccccc12
2AS.xyz	O=Cc1ccccc1-c1ccccc1
2AT.xyz	CCCCOc1ccccc1C=O
2AU.xyz	O=Cc1ccccc1I
2AV.xyz	CC[C@@H](C)Oc1ccccc1C=O
2AW.xyz	O=Cc1ccc(O)cc1
2AX.xyz	O=Cc1cccc2[nH]ccc12
2AY.xyz	O=Cc1cc2ccccc2c2ccccc12
2AZ.xyz	CCn1c2ccccc2c2cc(C=O)ccc21
2B.xyz	O=Cc1cccc(Br)c1
2BA.xyz	O=Cc1cccn1S(=O)(=O)c1ccccc1
2BB.xyz	O=Cc1ccc[nH]1
2BC.xyz	Cn1cc(C=O)c2ccccc21
2C.xyz	O=Cc1cccc(Cl)c1
2D.xyz	N#Cc1cccc(C=O)c1
2E.xyz	O=Cc1cccc(F)c1
2F.xyz	O=Cc1cccc(I)c1
2G.xyz	COC(=O)c1cccc(C=O)c1
2H.xyz	O=Cc1cccc(C(F)(F)F)c1
2I.xyz	O=Cc1ccc(Br)cc1
2J.xyz	O=Cc1ccc(Cl)cc1
2K.xyz	N#Cc1ccc(C=O)cc1
2L.xyz	O=Cc1ccc(F)cc1
2M.xyz	O=Cc1ccc(I)cc1
2N.xyz	COC(=O)c1ccc(C=O)cc1
2O.xyz	O=Cc1ccc(C(F)(F)F)cc1
2P.xyz	O=Cc1cc(Br)cc(Br)c1
2Q.xyz	O=Cc1cc(Cl)cc(Cl)c1
2R.xyz	C[C@]12CC[C@H](OC(=O)c3cccc(C=O)c3)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
2S.xyz	O=Cc1ccnc2ccccc12
2T.xyz	O=Cc1cc2ccccc2s1
2U.xyz	CC1(C)O[C@@H]2O[C@@H]([C@@H]3COC(C)(C)O3)[C@@H](OC(=O)c3cccc(C=O)c3)[C@@H]2O1
2V.xyz	O=Cc1cccs1
2W.xyz	O=Cc1ccccc1Br
2X.xyz	O=Cc1ccccc1Cl
2Y.xyz	C#Cc1ccccc1C=O
2Z.xyz	O=Cc1ccccc1O
