ArylHalide_CX_Lowdin,ArylHalide_C_Chem Shift,ArylHalide_C_Electrostatic,ArylHalide_C_Exposed Area,ArylHalide_C_Mulliken,ArylHalide_XY_Chem Shift_Max,ArylHalide_XY_Chem Shift_Min,ArylHalide_XY_Electrostatic_Max,ArylHalide_XY_Electrostatic_Min,ArylHalide_XY_Exposed Area_Avg,ArylHalide_XY_Exposed Area_Max,ArylHalide_XY_Exposed Area_Min,ArylHalide_XY_Length_Max,ArylHalide_XY_Length_Min,ArylHalide_XY_Lowdin_Avg,ArylHalide_XY_Lowdin_Max,ArylHalide_XY_Lowdin_Min,ArylHalide_XY_Mulliken_Bond_Avg,ArylHalide_XY_Mulliken_Bond_Max,ArylHalide_XY_Mulliken_Bond_Min,ArylHalide_XY_Mulliken_Max,ArylHalide_XY_Mulliken_Min,ArylHalide_XY_Natural_Max,ArylHalide_XY_Natural_Min,ArylHalide_X_Electrostatic,ArylHalide_X_Mulliken,class
1.1,134.134,-0.032,7.37,0.011,125.672,125.672,-0.054,-0.054,13.574,13.574,13.574,1.393,1.393,1.45,1.45,1.45,1.41,1.41,1.41,-0.149,-0.149,-0.241,-0.241,-0.065,-0.082,1
1.09,136.282,-0.197,7.369,-0.025,139.527,126.017,0.327,0.007,8.957,13.433,4.481,1.403,1.395,1.435,1.46,1.41,1.39,1.39,1.39,0.031,-0.151,-0.066,-0.243,-0.046,-0.079,1
1.09,134.495,-0.253,7.383,-0.039,152.735,132.191,0.741,0.094,10.879,13.587,8.171,1.406,1.391,1.425,1.47,1.38,1.38,1.42,1.34,0.297,-0.115,0.21,-0.211,-0.053,-0.073,1
1.11,138.789,-0.086,7.354,0.018,125.649,125.649,0.009,0.009,13.572,13.572,13.572,1.395,1.395,1.46,1.46,1.46,1.41,1.41,1.41,-0.149,-0.149,-0.24,-0.24,-0.037,-0.062,1
1.1,126.213,0.119,7.356,-0.004,118.438,106.432,-0.195,-0.38,13.664,13.817,13.511,1.406,1.391,1.455,1.5,1.41,1.405,1.46,1.35,-0.162,-0.198,-0.258,-0.293,-0.092,-0.081,1
1.14,128.897,0.169,7.599,-0.073,116.499,114.434,-0.178,-0.367,13.624,13.69,13.558,1.408,1.386,1.455,1.52,1.39,1.4,1.45,1.35,-0.155,-0.205,-0.23,-0.255,-0.146,-0.046,1
1.11,140.674,-0.04,7.359,0.018,125.3,125.3,-0.03,-0.041,13.5745,13.58,13.569,1.396,1.395,1.45,1.45,1.45,1.405,1.41,1.4,-0.152,-0.153,-0.249,-0.249,-0.047,-0.067,1
1.18,128.893,-0.021,7.624,-0.141,152.376,123.949,0.359,-0.114,11.3215,13.634,9.009,1.398,1.396,1.405,1.44,1.37,1.355,1.4,1.31,0.391,-0.139,0.409,-0.237,-0.064,0.02,1
1.14,127.357,0.314,7.626,-0.069,122.908,122.908,-0.148,-0.203,13.6075,13.631,13.584,1.396,1.39,1.45,1.47,1.43,1.42,1.44,1.4,-0.132,-0.146,-0.23,-0.235,-0.136,-0.035,2
1.11,121.067,0.084,7.581,0.029,122.169,121.544,-0.168,-0.23,15.636,16.786,14.486,1.428,1.365,1.475,1.66,1.29,1.44,1.62,1.26,-0.092,-0.358,-0.285,-0.452,-0.08,-0.063,2
1.13,137.335,0.091,7.569,-0.146,113.878,113.149,0.097,-0.264,9.7365,13.573,5.9,1.4,1.395,1.44,1.45,1.43,1.41,1.42,1.4,0.164,-0.133,-0.092,-0.281,-0.116,-0.041,2
1.1,124.646,-0.042,7.363,0.007,120.467,114.662,-0.091,-0.164,13.5665,13.572,13.561,1.397,1.389,1.45,1.48,1.42,1.4,1.44,1.36,-0.153,-0.222,-0.247,-0.307,-0.053,-0.077,2
1.15,131.657,0.208,7.574,-0.067,114.878,113.989,-0.24,-0.383,13.5715,13.751,13.392,1.395,1.39,1.455,1.47,1.44,1.42,1.43,1.41,-0.134,-0.185,-0.265,-0.279,-0.123,-0.023,2
1.09,129.449,0.124,7.356,0.004,120.935,118.065,-0.177,-0.341,13.589,13.704,13.474,1.406,1.389,1.46,1.51,1.41,1.405,1.44,1.37,-0.164,-0.222,-0.23,-0.249,-0.102,-0.086,2
1.16,138.357,0.083,7.602,-0.061,121.524,121.524,-0.116,-0.134,13.6565,13.657,13.656,1.396,1.394,1.445,1.45,1.44,1.415,1.42,1.41,-0.134,-0.137,-0.246,-0.247,-0.105,-0.018,2
1.12,109.293,0.11,7.877,-0.074,121.296,115.083,-0.264,-0.297,15.0725,15.774,14.371,1.405,1.385,1.445,1.49,1.4,1.395,1.44,1.35,0.051,-0.189,-0.033,-0.253,-0.084,-0.076,2
1.18,141.66,0.201,7.568,-0.058,118.217,111.807,-0.222,-0.326,13.6585,13.665,13.652,1.398,1.394,1.435,1.44,1.43,1.395,1.4,1.39,-0.134,-0.198,-0.262,-0.312,-0.088,0.016,3
1.14,130.966,-0.06,7.569,-0.13,132.423,124.056,0.39,-0.088,9.683,13.513,5.853,1.404,1.394,1.43,1.46,1.4,1.405,1.42,1.39,0.183,-0.129,-0.033,-0.229,-0.095,-0.023,3
1.09,125.131,-0.101,7.383,0.005,126.055,126.055,0.04,-0.008,13.5375,13.551,13.524,1.397,1.39,1.455,1.48,1.43,1.415,1.44,1.39,-0.148,-0.153,-0.229,-0.234,-0.069,-0.091,3
1.11,140.853,0.519,6.459,0.307,115.055,113.523,-0.435,-0.459,13.616,13.965,13.267,1.403,1.386,1.435,1.48,1.39,1.405,1.43,1.38,-0.127,-0.165,-0.234,-0.256,-0.446,-0.605,3
1.14,143.66,0.297,8.355,0.348,113.08,107.296,-0.192,-0.344,12.643,13.65,11.636,1.417,1.375,1.425,1.54,1.31,1.39,1.49,1.29,-0.166,-0.249,-0.258,-0.269,-0.307,-0.627,3
