,tag,flag,feat1,feat2,feat3,feat4,feat5,feat6,class
mol_A1,A1,1,0.21,1.10,0.30,2.10,0.50,1.00,1
mol_A2,A2,2,0.35,1.25,0.42,2.05,0.55,0.95,1
mol_A3,A3,3,0.18,0.98,0.28,1.95,0.48,1.05,1
mol_A4,A4,4,0.42,1.32,0.38,2.20,0.52,0.90,1
mol_A5,A5,5,0.29,1.05,0.33,2.00,0.47,1.02,1
mol_A6,A6,6,0.38,1.18,0.40,2.15,0.53,0.98,1
mol_A7,A7,7,0.25,1.12,0.31,2.08,0.49,1.01,1
mol_A8,A8,8,0.33,1.20,0.37,2.12,0.51,0.97,1
mol_A9,A9,9,0.40,1.28,0.41,2.18,0.54,0.93,1
mol_A10,A10,10,0.22,1.02,0.29,1.98,0.46,1.04,1
mol_B1,B1,11,1.05,2.10,1.20,3.00,1.10,2.00,2
mol_B2,B2,12,1.22,2.25,1.35,3.15,1.18,1.92,2
mol_B3,B3,13,0.98,1.95,1.10,2.90,1.05,2.08,2
mol_B4,B4,14,1.15,2.18,1.28,3.05,1.12,1.97,2
mol_B5,B5,15,1.08,2.05,1.22,2.95,1.08,2.03,2
mol_B6,B6,16,1.18,2.22,1.30,3.10,1.15,1.95,2
mol_B7,B7,17,1.02,2.08,1.18,2.98,1.09,2.02,2
mol_B8,B8,18,1.12,2.15,1.26,3.02,1.13,1.98,2
mol_B9,B9,19,1.20,2.28,1.32,3.12,1.16,1.94,2
mol_B10,B10,20,1.10,2.12,1.24,3.00,1.11,2.01,2
mol_C1,C1,21,2.05,3.20,2.10,4.10,2.00,3.00,3
mol_C2,C2,22,2.22,3.35,2.25,4.25,2.12,2.92,3
mol_C3,C3,23,1.95,3.05,2.00,4.00,1.98,3.08,3
mol_C4,C4,24,2.15,3.28,2.18,4.18,2.08,2.97,3
mol_C5,C5,25,2.08,3.15,2.12,4.05,2.02,3.03,3
mol_C6,C6,26,2.18,3.30,2.20,4.20,2.10,2.95,3
mol_C7,C7,27,2.02,3.18,2.08,4.08,2.01,3.02,3
mol_C8,C8,28,2.12,3.25,2.15,4.15,2.06,2.98,3
mol_C9,C9,29,2.20,3.32,2.22,4.22,2.11,2.94,3
mol_C10,C10,30,2.08,3.12,2.11,4.02,2.03,3.01,3
