,B1_1,B5_1,L_1,loc.B5_1,loc.B1_1,B1_2,B5_2,L_2,loc.B5_2,loc.B1_2,B1_3,B5_3,L_3,loc.B5_3,loc.B1_3,NPA_1,NPA_2,NPA_3,NPA_4,NPA_5,NPA_6,NPA_8,NPA_9,NPA_10,NPA_13,NPA_Metalla,diff_9_13,diff_4_10,diff_3_9,diff_3_4,diff_9_Metalla,diff_10_Metalla,diff_4_Metalla,dip_x_1,dip_y_1,dip_z_1,Total_1,dip_x_2,dip_y_2,dip_z_2,-4-10-,Dihedral(9_3_4_10),Dihedral(4_3_9_13),Dihedral(4_3_9_M),Angle(4_3_13),Angle(4_3_M),"Dist(9, 13)","Dist(3, 9)","Dist(3, 4)","Dist(4, 10)","Dist(3, 13)","Dist(3, M)",Iso.Polar,Aniso.Polar,V_bur,Rotatble_p30,Rotatble_m30,NPA_M_p30,NPA_M_m30,Rot_multiply,class
A,1.96,3.27,9.09,6.62,7.89,1.97,5.8,4.06,-2.38,1.64,1.83,6.82,4.09,-0.05,1.28,-0.21005,-0.19299,-0.07687,-0.17506,-0.2074,-0.20586,0.20923,0.18635,0.23366,-0.42223,-0.42223,0.60858,0.40872,0.26322,0.09819,0.60858,0.65589,0.24717,1.5001,-0.6921,-0.6796,1.7864,-1.352,0.9488,0.6804,3237.7824,0.645907293,24.44203549,24.44203549,92.16284119,92.16284119,1.335396216,1.484863527,1.394270119,1.081316048,2.403427722,2.403427722,131.28,106.801,0.32765328,1.6298317,0.3216616,-0.688163839,-0.135815177,0.524254272,1
B,1.96,3.29,9.09,6.62,2.41,1.93,7.35,4.06,-3.94,1.72,1.98,6.83,4.11,-0.09,1.25,-0.30892,-0.16509,-0.11233,-0.15296,-0.24911,0.30209,0.20883,0.19323,0.23568,-0.42698,-0.42698,0.62021,0.38864,0.30556,0.04063,0.62021,0.66266,0.27402,1.3968,-2.1434,-0.6117,2.6305,-2.5565,0.1351,0.6044,3238.2948,0.471941162,22.16721722,22.16721722,91.95337521,91.95337521,1.336021356,1.481789439,1.399007528,1.081312148,2.401125569,2.401125569,153.304,135.709,0.328165766,1.6319652,0.188755,-0.696816501,-0.08059461,0.308041591,1
C,1.94,3.28,9.11,6.64,7.91,1.95,6.98,4.06,-1.91,1.71,1.98,6.83,4.1,-0.09,3.06,-0.21051,-0.18319,-0.08837,-0.16557,-0.20663,-0.01668,0.20852,0.18912,0.23346,-0.42381,-0.42381,0.61293,0.39903,0.27749,0.0772,0.61293,0.65727,0.25824,1.037,-0.9267,-0.6704,1.5439,-1.3242,0.4281,0.6684,3235.1978,0.603256334,23.22309584,23.22309584,92.14273808,92.14273808,1.335749936,1.483613634,1.39531055,1.081399902,2.403069944,2.403069944,146.976,125.194,0.327443627,1.6000249,0.2582831,-0.678106553,-0.109462961,0.413259391,1
D,2.5,3.28,9.07,6.6,-0.12,2.01,8.06,4.05,-1.74,-0.25,2.56,6.82,4.09,-0.05,-0.51,-0.18243,-0.1894,-0.05538,-0.17094,-0.17729,-0.14836,0.21504,0.17797,0.24006,-0.41956,-0.41956,0.59753,0.411,0.23335,0.11556,0.59753,0.65962,0.24862,4.4516,0.9141,-0.6168,4.5862,-1.4351,4.3095,0.6338,3243.1819,0.64943851,24.16676493,24.16676493,91.87221418,91.87221418,1.334804057,1.485559702,1.396072888,1.080865891,2.400272507,2.400272507,145.515,119.068,0.32801435,1.6116339,0.3067268,-0.676177119,-0.128690296,0.494331309,1
E,1.95,3.27,9.08,6.61,7.88,1.97,7,4.05,-1.9,1.64,1.9,6.82,4.1,-0.05,-1.16,-0.15496,-0.19529,-0.04301,-0.1825,-0.16524,-0.1796,0.21386,0.17543,0.23861,-0.41903,-0.41903,0.59446,0.42111,0.21844,0.13949,0.59446,0.65764,0.23653,3.4745,2.4786,-0.6609,4.3188,0.4102,4.2446,0.6838,3239.7751,0.687436001,23.98004526,23.98004526,91.80474921,91.80474921,1.335234246,1.485236679,1.393872503,1.080879913,2.400978915,2.400978915,151.76,141.994,0.328055116,1.6485315,0.2936119,-0.690784154,-0.123032194,0.484028466,1
F,1.94,3.45,9.1,-2.04,6.74,1.93,8.59,4.06,-3.75,1.65,1.9,6.83,4.11,-0.12,1.23,-0.24144,-0.16621,-0.09954,-0.15817,-0.23834,0.14624,0.21068,0.1897,0.23678,-0.42692,-0.42692,0.61662,0.39495,0.28924,0.05863,0.61662,0.6637,0.26875,-1.0675,1.6404,-0.4392,2.0058,1.9533,-0.1012,0.4449,3237.5923,0.530574013,21.4100382,21.4100382,91.77507914,91.77507914,1.336089224,1.482253778,1.395058911,1.081127905,2.40099165,2.40099165,176.875,169.358,0.327892052,1.6331575,0.1452685,-0.6972276,-0.062018028,0.23724634,1
G,2.24,4.33,9.06,2.14,2.39,2.17,5.86,4.05,-2.26,1.58,1.93,6.68,3.95,0.52,1,-0.2075,-0.00408,-0.07577,-0.16696,-0.21807,-0.19902,-0.62587,0.18569,0.22665,-0.41927,-0.41927,0.60496,0.39361,0.26146,0.09119,0.60496,0.64592,0.25231,1.6762,-0.5766,-1.0964,2.0843,-1.3397,1.157,1.1002,3229.9352,1.533921918,41.67472167,41.67472167,93.78863244,93.78863244,1.335838237,1.487682216,1.395690067,1.081950109,2.401963755,2.401963755,141.931,96.3959,0.330489424,1.213165,2.3918798,-0.50864369,-1.002843444,2.901744858,1
H,2.19,4.22,9.07,5.24,3.78,2.26,5.92,4.07,-2.14,-1.12,1.99,6.73,3.79,0.4,-0.4,-0.21145,-0.19587,-0.07104,-0.17446,-0.20896,-0.20741,0.20944,0.1823,0.22753,-0.41426,-0.41426,0.59656,0.40199,0.25334,0.10342,0.59656,0.64179,0.2398,1.4491,-0.6385,-1.2872,2.0407,-1.2843,0.9243,1.2886,3231.8766,0.397993267,41.50164195,41.50164195,94.96662044,94.96662044,1.336027155,1.487869155,1.394006583,1.081917539,2.381063263,2.381063263,141.838,95.603,0.322889489,1.2374497,2.3323291,-0.512625913,-0.966190653,2.886139945,1
I,1.7,4.43,9.06,4.69,2.38,1.7,5.65,4.06,-2.6,-1.07,1.7,6.85,4.15,-0.44,-1.08,-0.18637,-0.06049,-0.0583,-0.17075,-0.20783,-0.20238,-0.17147,0.18308,0.23812,-0.41309,-0.41309,0.59617,0.40887,0.24138,0.11245,0.59617,0.65121,0.24234,1.4187,-0.9445,0,1.7043,-1.531,0.7489,0,3241.754,0.000202492,0.007423406,0.007423406,92.01523696,92.01523696,1.346927042,1.449408145,1.404962343,1.08102977,2.403995179,2.403995179,156.961,137.955,0.325317974,4.7317391,4.72697,-1.954634105,-1.952664037,22.36678877,1
J,1.7,3.14,9.03,6.7,2.4,1.7,5.74,4.03,-2.48,-1.02,1.7,6.73,4.17,2.01,-1.08,-0.21408,-0.17236,-0.10482,-0.17236,-0.21408,-0.19676,0.23535,0.39668,0.23535,-0.45058,-0.45058,0.84726,0.40771,0.5015,0.06754,0.84726,0.68593,0.27822,1.4871,0.8569,-4.00E-04,1.7163,0,1.7163,4.00E-04,3241.4986,0.000344535,0.009952221,0.009952221,90.92059724,90.92059724,1.335604555,1.48445,1.393846417,1.080935975,2.413287401,2.413287401,126.738,108.463,0.327298034,1.0312499,1.0328187,-0.46466058,-0.46536745,1.065094181,1
