SMILES,Name
c1cc(ccc1C=O)n1nccc1,Z
c1cc(ccc1)n1nccc1,Y
c1cc(ccc1)c1nccs1,X
c1cc(ccc1)C1=NCCO1,W
c1cc(ccc1)Oc1ccccn1,V
c1cc(ccc1)c1nc2ccccc2cc1,U
c1cc(ccc1)c1nc(oc1c1ccccc1)CCC(=O)O,T
c1cc(ccc1NC(=O)C)/C=N/C,Sa
c1cc(ccc1NC(=O)C)C=O,S
c1cc(ccc1c1ccccn1)/C=N/C,Ra
c1cc(ccc1c1ccccn1)C=O,R
c1cc(ccc1OC)/C=N/C,Qa
c1cc(ccc1OC)C=O,Q
c1cc(ccc1c1ccccc1)/C=N/C,Pa
c1cc(ccc1c1ccccc1)C=O,P
c1cc(ccc1I)/C=N/C,Oa
c1cc(ccc1I)C=O,O
c1cc(ccc1)N1C(=O)CCCC1,NM2
c1c2c(ccc1)C(=O)NCC2,NM1
c1cc(ccc1Br)/C=N/C,Na
c1cc(ccc1Br)C=O,N
c1cc(ccc1Cl)/C=N/C,Ma
c1cc(ccc1Cl)C=O,M
c1cc(ccc1)/C=N/C,La
c1cc(ccc1)C=O,L
c1cc(ccc1)/C=N/c1ccccc1,K
c1cc(ccc1)c1ncccn1,J
c1c2c(ccc1)c1ncccc1cc2,I
c1cc(ccc1)c1ncccc1C,H
c1c(c(ccc1)c1ncccc1)C,G
c1cc(ccc1NC(=O)C)c1ncccc1,F
c1cc(ccc1C=O)c1ncccc1,E
c1cc(ccc1C(F)(F)F)c1ncccc1,D
c1cc(ccc1C)c1ncccc1,C
c1c2c(ccc1)C(=O)C(C2=O)c1ccccc1,BM
c1c2c(ccc1)C(=O)C[C@H](O2)c1ccccc1,BL
c1cc(ccc1C#N)C(n1ncnc1)c1ccc(cc1)C#N,BK
c1cc(ccc1S(=O)(=O)N)n1nc(cc1c1ccccc1)C(F)(F)F,BJ
c1cc(ccc1)C1C(=O)c2ccccc2C1=O,BI
c1cc(ccc1)[C@H]1Oc2c(C(=O)C1)cccc2,BH
c1cc(ccc1)C(=O)N,BG
c1cc(ccc1)C(=O)C,BF
c1cc(ccc1)c1c(O)cccc1,BE
c1cc(ccc1)[S@@](=O)C,BD
c1cc(ccc1C)S(=O)(=O)N,BC
c1cc(ccc1C)S(=O)(=O)Cl,BB
c1cc(ccc1)C(=O)OC,BA_rot
c1cc(ccc1)C(=O)OC,BA
c1cc(ccc1OC)c1ncccc1,B
c1cc(ccc1)C(=O)O,AZ
c1cc(ccc1)C(=O)Nc1ccccc1,AY
c1cc(ccc1)NC(=O)c1ccccc1,AX
c1cc(ccc1O)NC(=O)C,AW
c1cc(ccc1)N1C(=O)CCC1,AV
c1cc(ccc1)C(=O)N1CCCCC1,AU
c1cc(ccc1)C(=O)N(C)OC,AT
c1cc(ccc1)C(=O)N(C(C)C)C(C)C,AS
c1cc(ccc1)C(=O)N(C)C,AR
c1cc(ccc1)n1ncc(c(c1=O)Cl)N,AQ2
c1cc(ccc1)n1c(=O)c(c(cn1)N)Cl,AQ
c1cc(ccc1)C(=O)NC,AP
c1cc(ccc1)NC(=O)Nc1ccccc1,AO
c1cc(ccc1)NC(=O)C(C)(C)C,AN
c1c(c(ccc1)NC(=O)C(C)(C)C)C,AM
c1c(c(ccc1C)NC(=O)C)C,AL
c1c(c(ccc1)NC(=O)C)C,AK
c1cc(ccc1C=O)NC(=O)C,AJ
c1cc(ccc1C(F)(F)F)NC(=O)C,AI
c1cc(ccc1C)NC(=O)C,AH
c1cc(ccc1OC)NC(=O)C,AG
c1cc(ccc1)NC(=O)C,AF
c12c3c4ccc1cccc2ccc3ccc4/C=N/C,AEa
c12c3c4ccc1cccc2ccc3ccc4C=O,AE
c12c3c(ccc1ccc1c2c(ccc1)cc3)/C=N/C,ADa
c12c3c(ccc1ccc1c2c(ccc1)cc3)C=O,AD
c1cc(cnc1C)c1ncc(cc1c1ccc(cc1)S(=O)(=O)C)Cl,AC
c1cc(ccc1)n1nc(c(/C=N/C)c1)c1ccccc1,ABa
c1cc(ccc1)n1nc(c(C=O)c1)c1ccccc1,AB
c1cc(ccc1n1nccc1)/C=N/C,AAa
c1cc(ccc1n1nccc1)C=O,AA
c1cc(ccc1)c1ncccc1,A
