Name,Smiles
Z,[PH3]c1ccnc2c1CCc1c(C2=C2CCN(C(=O)OCC)CC2)ccc(Cl)c1
Y,[PH3]1c2c(cnc(c2)C)[C]2N1C=C(Cl)C=C2c1ccc(S(=O)(=O)C)cc1
X,[PH3]c1c(cncc1)c1cc(F)cc(c2ccc(C(F)(F)F)cn2)c1
W,[PH3]c1ccnc(c1C(=O)OC[C@@H]1CN(C(=O)OCC)CC[C@H]1c1ccc(F)cc1)C
V,[PH3]c1ccncc1c1ccccc1
U,[PH3]c1c(cnc(c1)C(=O)O[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C
T,[PH3]c1c2n(ccn1)ccn2
S,[PH3]c1ccnc2n1ncc2
R,[PH3]c1ccncc1c1ccnn1C
Q,[PH3]c1cnc2c(n1)cccc2
P,[PH3]c1ccnc2c1nccc2
O,[PH3]c1c2c(ccn1)c(N(=O)=O)ccc2
N,[PH3]c1ccnnc1C#N
M,[PH3]c1ccnc2c1cc(cc2)c1cscc1
L,[PH3]c1ccnc2c1ccc(c2)Br
K,[PH3]c1c(cnc(c1)CCCC)C(F)(F)F
J,[PH3]c1cc(c2c(n1)cccc2)C
I,[PH3]c1c(cnc(c1)Cl)c1ccccc1
H,[PH3]c1ccnc(c1C)C#N
G,[PH3]c1ccncc1CN(C)C(=O)OC(C)(C)C
F,[PH3]c1c(cncc1c1cc(C(=O)OC)c(nc1)c1ncccc1)Cl
E,[PH3]c1c(cncc1COc1cnc(cc1)C)C
D,[PH3]c1ncncc1c1cc(F)c(cc1)OC(F)(F)F
C,[PH3]c1ncncc1c1ccc(OC)cc1
BK,[PH3]c1ccnc(c1)CN1CCN(CC1)c1c(cccc1)OC
BJ,[PH3]c1c(cnc(c1C)C(=O)OCC)Cl
BI,[PH3]c1ccnc(c1C(=O)OCC)Sc1ccc(cc1)Cl
BH,[PH3]1c2cc(ncc2[C](O1)Nc1cc(c(cc1)C(F)(F)F)F)Cl
BG,[PH3]c1cc2c(c(n1)Cl)cc(cc2)Br
BF,[PH3]C1=N[C](c2c([N]1)cc(c(c2)OC)OC)Cl
BE,[PH3][C]1C=CN=C2N1[C](Br)C=N2
BD,[PH3]c1ccnc2c1OCC(=O)N2
BC,[PH3]c1ccncc1[C@@H]1CCCN1C
BB,[PH3]c1ccnc(c1)F
BA,[PH3]c1c(cnc(c1F)Br)F
B,[PH3]c1c(cncc1c1ccccc1)C#N
AZ,[PH3]c1ccnc(c1)OC
AY,[PH3]c1cc(ccn1)C(F)(F)F
AX,[PH3]c1ccnc(c1c1c(csc1)C)F
AW,[PH3]c1ccnc(c1C)C#N
AV,[PH3]c1ccncc1OC1CCCCC1
AU,[PH3]c1ccnc(c1)c1ccccc1
AT,[PH3]c1ccnc(c1)c1c(C(=O)OC)cc(c2cncc(Cl)c2)cn1
AS,[PH3]c1ccnc(c1)c1c(Cl)ccc(N(C(=O)OCC)C(=O)c2c(Cl)cc(S(=O)(=O)C)cc2)c1
AR,[PH3]c1ccnc(c1)C(c1ccc(OC(=O)C)cc1)c1ccc(OC(=O)C)cc1
AQ,[PH3]c1cc(ncc1)[C@@H](c1ccc(Cl)cc1)OC1CCN(C(=O)OCC)CC1
AP,[PH3]c1ccnc(c1)[C@@H](c1ccccc1)O[Si](C)(C)C(C)(C)C
AO,[PH3]c1ccnc(c1)C1OCCO1
AN,[PH3]c1ccnc(c1)c1cccc(S(F)(F)(F)(F)F)c1
AM,[PH3]c1ccnc(c1c1cscc1)C
AL,[PH3]c1c(cnc(c1)C)c1cc(Cl)cc(c1)F
AK,[PH3]c1ccnc2c1CCC2
AJ,[PH3]c1ccncc1c1ncc(C(F)(F)F)cc1
AI,[PH3]c1ccncc1Oc1ccccn1
AH,[PH3]c1ccnc(c1Br)C
AF,[PH3]c1c(cncc1C)Br
AE,[PH3]c1cnc2c(n1)cc1[C@@H]3CN(C(=O)OCC)C[C@H](c1c2)C3
AD,[PH3]c1cc(c2c(n1)cc(cc2Cl)Cl)Oc1ccc(F)cc1
AC,[PH3]c1ccncc1C#Cc1ccccc1
AB,[PH3]c1ccncc1C1=CC[C@@H]2[C@@]1(CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@H](OC(=O)C)C2)C
AA,[PH3]c1ccncc1C(=O)OCCOCCCC
A,[PH3]c1c(cncc1C)C
